Pais;Ano;Quantidade
Afghanistan;2010;0.0
Afghanistan;2011;0.0
Afghanistan;2012;0.0
Afghanistan;2013;0.0
Afghanistan;2014;0.0
Afghanistan;2015;0.0
Afghanistan;2016;0.0
Afghanistan;2017;0.0
Afghanistan;2018;0.0
Afghanistan;2019;0.0
Afghanistan;2020;0.0
Afghanistan;2021;0.0
Albania;2006;17000.0
Albania;2007;17800.0
Albania;2008;16100.0
Albania;2009;17500.0
Albania;2010;18100.0
Albania;2011;18000.0
Albania;2012;19000.0
Albania;2013;18000.0
Albania;2014;17500.0
Albania;2015;16400.0
Albania;2016;17800.0
Albania;2017;16900.0
Albania;2018;15300.0
Albania;2019;18700.0
Albania;2020;19200.0
Albania;2021;29500.0
Algeria;2006;105000.0
Algeria;2007;52000.0
Algeria;2008;50000.0
Algeria;2009;58800.0
Algeria;2010;47500.0
Algeria;2011;48000.0
Algeria;2012;49200.0
Algeria;2013;49800.0
Algeria;2014;12600.0
Algeria;2015;9600.0
Algeria;2016;6600.0
Algeria;2017;22700.0
Algeria;2018;19300.0
Algeria;2019;19300.0
Algeria;2020;19300.0
Algeria;2021;19300.0
Argentina;2006;1539600.0
Argentina;2007;1504600.0
Argentina;2008;1467600.0
Argentina;2009;1213500.0
Argentina;2010;1625000.0
Argentina;2011;1547300.0
Argentina;2012;1177800.0
Argentina;2013;1498400.0
Argentina;2014;1519700.0
Argentina;2015;1336200.0
Argentina;2016;944700.0
Argentina;2017;1182100.0
Argentina;2018;1452200.0
Argentina;2019;1301900.0
Argentina;2020;1079600.0
Argentina;2021;1248200.0
Armenia;2006;4400.0
Armenia;2007;4200.0
Armenia;2008;3800.0
Armenia;2009;4700.0
Armenia;2010;5900.0
Armenia;2011;6200.0
Armenia;2012;5800.0
Armenia;2013;6400.0
Armenia;2014;6800.0
Armenia;2015;6600.0
Armenia;2016;6800.0
Armenia;2017;8800.0
Armenia;2018;8900.0
Armenia;2019;12700.0
Armenia;2020;11000.0
Armenia;2021;11200.0
Australia;2006;1426300.0
Australia;2007;962000.0
Australia;2008;1244800.0
Australia;2009;1178400.0
Australia;2010;1142000.0
Australia;2011;1118000.0
Australia;2012;1225900.0
Australia;2013;1231000.0
Australia;2014;1186300.0
Australia;2015;1191200.0
Australia;2016;1310000.0
Australia;2017;1369000.0
Australia;2018;1274000.0
Australia;2019;1197000.0
Australia;2020;1090000.0
Australia;2021;1482000.0
Austria;2006;225600.0
Austria;2007;262800.0
Austria;2008;299300.0
Austria;2009;235200.0
Austria;2010;173700.0
Austria;2011;281400.0
Austria;2012;212500.0
Austria;2013;239200.0
Austria;2014;199900.0
Austria;2015;226800.0
Austria;2016;195300.0
Austria;2017;248600.0
Austria;2018;275300.0
Austria;2019;246500.0
Austria;2020;239800.0
Austria;2021;246000.0
Azerbaijan;2006;5200.0
Azerbaijan;2007;6400.0
Azerbaijan;2008;8200.0
Azerbaijan;2009;7200.0
Azerbaijan;2010;11700.0
Azerbaijan;2011;7600.0
Azerbaijan;2012;10600.0
Azerbaijan;2013;8400.0
Azerbaijan;2014;10000.0
Azerbaijan;2015;10400.0
Azerbaijan;2016;10500.0
Azerbaijan;2017;11300.0
Azerbaijan;2018;15700.0
Azerbaijan;2019;8800.0
Azerbaijan;2020;9000.0
Azerbaijan;2021;13000.0
Belarus;2006;12400.0
Belarus;2007;20000.0
Belarus;2008;25700.0
Belarus;2009;21000.0
Belarus;2010;25100.0
Belarus;2011;26800.0
Belarus;2012;27200.0
Belarus;2013;28200.0
Belarus;2014;30000.0
Belarus;2015;28700.0
Belarus;2016;27400.0
Belarus;2017;31000.0
Belarus;2018;32000.0
Belarus;2019;34000.0
Belarus;2020;30400.0
Belarus;2021;30400.0
Belgium;2006;200.0
Belgium;2007;200.0
Belgium;2008;600.0
Belgium;2009;600.0
Belgium;2010;500.0
Belgium;2011;500.0
Belgium;2012;300.0
Belgium;2013;600.0
Belgium;2014;700.0
Belgium;2015;1000.0
Belgium;2016;800.0
Belgium;2017;900.0
Belgium;2018;2000.0
Belgium;2019;1500.0
Belgium;2020;1800.0
Belgium;2021;1500.0
Bolivia;2006;7300.0
Bolivia;2007;7400.0
Bolivia;2008;7700.0
Bolivia;2009;7000.0
Bolivia;2010;7400.0
Bolivia;2011;7400.0
Bolivia;2012;8000.0
Bolivia;2013;8300.0
Bolivia;2014;5500.0
Bolivia;2015;8300.0
Bolivia;2016;8300.0
Bolivia;2017;8400.0
Bolivia;2018;6700.0
Bolivia;2019;8400.0
Bolivia;2020;8400.0
Bolivia;2021;8400.0
Bosnia and Herzegovina;2006;2700.0
Bosnia and Herzegovina;2007;4600.0
Bosnia and Herzegovina;2008;4600.0
Bosnia and Herzegovina;2009;3700.0
Bosnia and Herzegovina;2010;4500.0
Bosnia and Herzegovina;2011;3400.0
Bosnia and Herzegovina;2012;3100.0
Bosnia and Herzegovina;2013;4200.0
Bosnia and Herzegovina;2014;7500.0
Bosnia and Herzegovina;2015;5400.0
Bosnia and Herzegovina;2016;4600.0
Bosnia and Herzegovina;2017;5500.0
Bosnia and Herzegovina;2018;6000.0
Bosnia and Herzegovina;2019;6000.0
Bosnia and Herzegovina;2020;6900.0
Bosnia and Herzegovina;2021;6900.0
Brazil;2006;237200.0
Brazil;2007;350200.0
Brazil;2008;368300.0
Brazil;2009;272000.0
Brazil;2010;245900.0
Brazil;2011;346000.0
Brazil;2012;296700.0
Brazil;2013;271000.0
Brazil;2014;281000.0
Brazil;2015;269900.0
Brazil;2016;125700.0
Brazil;2017;355300.0
Brazil;2018;308400.0
Brazil;2019;217600.0
Brazil;2020;225700.0
Brazil;2021;292800.0
Bulgaria;2006;175700.0
Bulgaria;2007;179600.0
Bulgaria;2008;161700.0
Bulgaria;2009;124600.0
Bulgaria;2010;103000.0
Bulgaria;2011;109800.0
Bulgaria;2012;133700.0
Bulgaria;2013;175500.0
Bulgaria;2014;83300.0
Bulgaria;2015;136700.0
Bulgaria;2016;124500.0
Bulgaria;2017;115700.0
Bulgaria;2018;108400.0
Bulgaria;2019;91800.0
Bulgaria;2020;82300.0
Bulgaria;2021;89300.0
Canada;2006;52700.0
Canada;2007;50200.0
Canada;2008;54300.0
Canada;2009;45400.0
Canada;2010;50700.0
Canada;2011;61400.0
Canada;2012;62000.0
Canada;2013;69700.0
Canada;2014;58200.0
Canada;2015;59800.0
Canada;2016;63800.0
Canada;2017;70400.0
Canada;2018;70300.0
Canada;2019;69700.0
Canada;2020;65600.0
Canada;2021;65600.0
Chile;2006;844800.0
Chile;2007;822700.0
Chile;2008;868300.0
Chile;2009;1009300.0
Chile;2010;884400.0
Chile;2011;1046400.0
Chile;2012;1255400.0
Chile;2013;1282100.0
Chile;2014;989600.0
Chile;2015;1286600.0
Chile;2016;1014300.0
Chile;2017;949200.0
Chile;2018;1289800.0
Chile;2019;1193900.0
Chile;2020;1033700.0
Chile;2021;1343700.0
China;2006;1190000.0
China;2007;1250000.0
China;2008;1260000.0
China;2009;1280000.0
China;2010;1300000.0
China;2011;1342600.0
China;2012;1606500.0
China;2013;1369300.0
China;2014;1349600.0
China;2015;1334500.0
China;2016;1321700.0
China;2017;1163600.0
China;2018;926900.0
China;2019;782400.0
China;2020;658700.0
China;2021;590800.0
Côte d'Ivoire;2010;0.0
Côte d'Ivoire;2011;0.0
Côte d'Ivoire;2012;0.0
Côte d'Ivoire;2013;0.0
Côte d'Ivoire;2014;0.0
Côte d'Ivoire;2015;0.0
Côte d'Ivoire;2016;0.0
Côte d'Ivoire;2017;0.0
Côte d'Ivoire;2018;0.0
Côte d'Ivoire;2019;0.0
Côte d'Ivoire;2020;0.0
Côte d'Ivoire;2021;0.0
Croatia;2006;123700.0
Croatia;2007;136500.0
Croatia;2008;127600.0
Croatia;2009;142400.0
Croatia;2010;143300.0
Croatia;2011;140900.0
Croatia;2012;129300.0
Croatia;2013;124800.0
Croatia;2014;84200.0
Croatia;2015;99200.0
Croatia;2016;76000.0
Croatia;2017;72600.0
Croatia;2018;95200.0
Croatia;2019;95200.0
Croatia;2020;80000.0
Croatia;2021;76500.0
Cuba;2006;9400.0
Cuba;2007;10200.0
Cuba;2008;10600.0
Cuba;2009;10400.0
Cuba;2010;10800.0
Cuba;2011;11400.0
Cuba;2012;12400.0
Cuba;2013;11600.0
Cuba;2014;12500.0
Cuba;2015;11500.0
Cuba;2016;11700.0
Cuba;2017;12000.0
Cuba;2018;11400.0
Cuba;2019;10600.0
Cuba;2020;14400.0
Cuba;2021;13100.0
Cyprus;2006;18300.0
Cyprus;2007;16900.0
Cyprus;2008;14700.0
Cyprus;2009;14500.0
Cyprus;2010;11400.0
Cyprus;2011;8500.0
Cyprus;2012;11200.0
Cyprus;2013;9400.0
Cyprus;2014;8600.0
Cyprus;2015;9100.0
Cyprus;2016;6900.0
Cyprus;2017;9900.0
Cyprus;2018;10900.0
Cyprus;2019;10000.0
Cyprus;2020;8900.0
Cyprus;2021;6800.0
Czech Republic;2006;43200.0
Czech Republic;2007;82000.0
Czech Republic;2008;84000.0
Czech Republic;2009;57000.0
Czech Republic;2010;56400.0
Czech Republic;2011;65000.0
Czech Republic;2012;47000.0
Czech Republic;2013;50100.0
Czech Republic;2014;53600.0
Czech Republic;2015;81900.0
Czech Republic;2016;63100.0
Czech Republic;2017;64500.0
Czech Republic;2018;69100.0
Czech Republic;2019;49200.0
Czech Republic;2020;60300.0
Czech Republic;2021;59200.0
Denmark;2010;0.0
Denmark;2011;0.0
Denmark;2012;0.0
Denmark;2013;0.0
Denmark;2014;0.0
Denmark;2015;1100.0
Denmark;2016;100.0
Denmark;2017;100.0
Denmark;2018;100.0
Denmark;2019;100.0
Denmark;2020;100.0
Denmark;2021;100.0
Egypt;2006;6800.0
Egypt;2007;10500.0
Egypt;2008;14300.0
Egypt;2009;11800.0
Egypt;2010;4400.0
Egypt;2011;4300.0
Egypt;2012;4500.0
Egypt;2013;4500.0
Egypt;2014;5000.0
Egypt;2015;5900.0
Egypt;2016;5800.0
Egypt;2017;6000.0
Egypt;2018;5700.0
Egypt;2019;5400.0
Egypt;2020;5300.0
Egypt;2021;5300.0
Estonia;2006;1000.0
Estonia;2007;1000.0
Estonia;2008;1000.0
Estonia;2009;1000.0
Estonia;2010;2800.0
Estonia;2011;6400.0
Estonia;2012;9600.0
Estonia;2013;10700.0
Estonia;2014;11100.0
Estonia;2015;11500.0
Estonia;2016;11000.0
Estonia;2017;11000.0
Estonia;2018;11000.0
Estonia;2019;11000.0
Estonia;2020;11000.0
Estonia;2021;11000.0
Ethiopia;2006;2600.0
Ethiopia;2007;3000.0
Ethiopia;2008;1400.0
Ethiopia;2009;1600.0
Ethiopia;2010;900.0
Ethiopia;2011;900.0
Ethiopia;2012;900.0
Ethiopia;2013;900.0
Ethiopia;2014;900.0
Ethiopia;2015;800.0
Ethiopia;2016;800.0
Ethiopia;2017;800.0
Ethiopia;2018;800.0
Ethiopia;2019;800.0
Ethiopia;2020;800.0
Ethiopia;2021;800.0
France;2006;5212700.0
France;2007;4567200.0
France;2008;4265400.0
France;2009;4626900.0
France;2010;4438100.0
France;2011;5075700.0
France;2012;4154800.0
France;2013;4213400.0
France;2014;4653400.0
France;2015;4777500.0
France;2016;4536700.0
France;2017;3660500.0
France;2018;4918600.0
France;2019;4232400.0
France;2020;4673900.0
France;2021;3775300.0
Georgia;2006;95000.0
Georgia;2007;147500.0
Georgia;2008;110500.0
Georgia;2009;104300.0
Georgia;2010;103400.0
Georgia;2011;110800.0
Georgia;2012;83000.0
Georgia;2013;99700.0
Georgia;2014;92000.0
Georgia;2015;119600.0
Georgia;2016;88400.0
Georgia;2017;100200.0
Georgia;2018;174000.0
Georgia;2019;176000.0
Georgia;2020;180000.0
Georgia;2021;210000.0
Germany;2006;891600.0
Germany;2007;1026100.0
Germany;2008;999100.0
Germany;2009;922800.0
Germany;2010;690600.0
Germany;2011;913200.0
Germany;2012;901200.0
Germany;2013;840900.0
Germany;2014;920200.0
Germany;2015;881900.0
Germany;2016;901300.0
Germany;2017;746200.0
Germany;2018;1026800.0
Germany;2019;821800.0
Germany;2020;840500.0
Germany;2021;844800.0
Global;2006;28281700.0
Global;2007;26807400.0
Global;2008;26913300.0
Global;2009;26925400.0
Global;2010;26180000.0
Global;2011;26773300.0
Global;2012;26064200.0
Global;2013;29221700.0
Global;2014;27045300.0
Global;2015;27710000.0
Global;2016;27054500.0
Global;2017;24830000.0
Global;2018;29464100.0
Global;2019;25814300.0
Global;2020;26209800.0
Global;2021;26087200.0
Greece;2006;393800.0
Greece;2007;351100.0
Greece;2008;386900.0
Greece;2009;336600.0
Greece;2010;295000.0
Greece;2011;275000.0
Greece;2012;311500.0
Greece;2013;334300.0
Greece;2014;280000.0
Greece;2015;250100.0
Greece;2016;249000.0
Greece;2017;255000.0
Greece;2018;223500.0
Greece;2019;238700.0
Greece;2020;222100.0
Greece;2021;241600.0
Hungary;2006;310000.0
Hungary;2007;322200.0
Hungary;2008;346000.0
Hungary;2009;306500.0
Hungary;2010;164600.0
Hungary;2011;250800.0
Hungary;2012;176500.0
Hungary;2013;257300.0
Hungary;2014;242700.0
Hungary;2015;278000.0
Hungary;2016;282100.0
Hungary;2017;254800.0
Hungary;2018;364500.0
Hungary;2019;239400.0
Hungary;2020;258600.0
Hungary;2021;258800.0
India;2006;8600.0
India;2007;11200.0
India;2008;11700.0
India;2009;14900.0
India;2010;16000.0
India;2011;14200.0
India;2012;14600.0
India;2013;17000.0
India;2014;17300.0
India;2015;18300.0
India;2016;19400.0
India;2017;20400.0
India;2018;21000.0
India;2019;18000.0
India;2020;18000.0
India;2021;18000.0
Iran;2015;0.0
Iran;2016;0.0
Iran;2017;0.0
Iran;2018;0.0
Iran;2019;0.0
Iran;2020;0.0
Iran;2021;0.0
Ireland;2010;0.0
Ireland;2011;0.0
Ireland;2012;0.0
Ireland;2013;0.0
Ireland;2014;0.0
Ireland;2015;0.0
Ireland;2016;0.0
Ireland;2017;0.0
Ireland;2018;0.0
Ireland;2019;0.0
Ireland;2020;0.0
Ireland;2021;0.0
Israel;2006;23400.0
Israel;2007;21800.0
Israel;2008;22800.0
Israel;2009;23000.0
Israel;2010;24500.0
Israel;2011;25900.0
Israel;2012;28000.0
Israel;2013;30000.0
Israel;2014;32000.0
Israel;2015;34100.0
Israel;2016;36100.0
Israel;2017;38100.0
