"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9840","11110","11570","12560","13610","14640","16060","16930","17150","17980","18230","18320","20390","20510","19290","21120","24010","20370","24870","23390","27580","24930","23390","23400","24440","25500","25790","26180","26650","27720","29310","30330","24840","29460","",
"Africa Eastern and Southern","AFE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","617.979549781163","590.633219075647","526.062239037289","520.358474314585","576.890370449491","664.65668080508","707.846010521307","715.118139764744","755.999849907796","709.840938036769","706.256522115183","689.027287295989","722.797397412006","736.785612775262","740.717267410079","679.405415224402","661.544024483292","657.713624433912","630.947633822684","617.360731988999","668.568529950242","813.904450896533","1019.16816004056","1146.63051840835","1256.10053122039","1339.57606706556","1363.03843275382","1438.81893286474","1575.31971496606","1684.37761987067","1716.46830468503","1696.46289906514","1579.29534190028","1460.60912902567","1443.99602610945","1456.39653395096","1494.58995291816","1388.53122528792","1461.38801895754","1542.26098460035",
"Afghanistan","AFG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","460","520","550","650","680","650","610","570","540","520","530","500","390","",
"Africa Western and Central","AFW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","113.080093270034","121.44628932037","127.515314232854","132.486064953072","135.416669868155","128.254739892274","129.923084078728","142.512546803281","169.67821401893","178.175578139604","192.10127318836","216.898298263601","300.90577877377","357.619552446989","420.001039212074","452.347887214172","475.602289411557","554.570184192684","640.752360495353","755.573205524054","866.266813564742","914.46183808225","750.558671238052","679.748219061847","618.238973048315","610.756438656291","626.615583767828","560.530880864163","553.546650077088","539.597110140208","550.435577882362","469.868631304245","414.793665314391","406.401204332274","425.47016623559","463.981867544616","461.770756493219","464.095447186925","454.0899421649","477.517296343889","521.016177334125","582.425231863589","706.669083581705","834.28606733907","1018.76171248498","1188.39836974399","1434.6167441871","1501.52337491535","1559.23175281481","1594.90661659948","1766.96143528478","1928.1664807163","2101.33615304026","2009.48861383803","1776.14087823586","1590.79945754976","1606.96002359342","1681.8240788055","1664.74271787706","1727.60320924943","1779.43139024814",
"Angola","AGO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","590","670","660","650","860","780","960","430","470","210","370","320","450","410","330","360","390","590","710","1010","1370","1810","2460","3030","3170","3210","3360","4060","4650","4800","3880","2450","1980","1870","2040","1690","1650","1900",
"Albania","ALB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","700","730","730","760","650","410","280","320","380","640","890","800","860","950","1100","1280","1370","1650","2100","2620","3050","3460","4040","4280","4360","4410","4360","4540","4540","4390","4320","4290","4860","5230","5270","6100","6770",
"Andorra","AND","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46530","","","",
"Arab World","ARB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","2876.12607909878","2504.72783379878","2461.72807473761","2419.80399342234","2566.71020506764","2609.76630546514","2669.44681249148","2573.64525712043","2997.39991159744","2277.85201391124","2228.44506426054","2112.10366351465","2090.72045860985","2155.88519880485","2282.60757445804","2389.84947887447","2407.92172989307","2427.25298526123","2588.17558659258","2695.37564640821","2657.01194983047","2836.0649395057","3291.3592214976","3745.38480045191","4315.28760112797","4943.13709093923","5769.98930862663","5868.01590782431","6168.5621656686","6183.45807324461","6917.57598528832","7319.83614749816","7362.87055574403","6913.82388370232","6509.5790865836","6098.99502047463","6264.88260453234","6444.1959278509","5949.45690542345","6269.58448763588","7007.23425866129",
"United Arab Emirates","ARE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30050","30570","29620","31910","36840","40190","42600","41580","40490","34670","33670","36540","41810","45850","47420","46270","44460","42090","44350","46210","41600","43460","48950",
"Argentina","ARG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","1130","1240","1360","1240","1220","1300","1320","1480","1470","1820","2470","2720","2350","2210","2480","2950","3250","2800","2660","2860","3210","3080","3380","3500","3870","2920","3190","3860","6060","7110","7600","7340","7700","8110","7990","7540","7430","6960","4020","3640","3360","4240","5460","6480","7630","7760","9270","10710","11890","12870","12350","12600","12220","13140","12430","11220","9010","9960","11620",
