data;precipitacao_total;temp_max;temp_min;humid_media;temp_media
2006-01-31;4,6;30,64;19,97;70,86;25,3
2006-02-28;2,49;29,89;18,8;70,1;24,35
2006-03-31;3,1;28,51;18,09;70,33;23,3
2006-04-30;3,14;24,76;14,98;72,37;19,87
2006-05-31;3,43;20,33;10,81;78,47;15,57
2006-06-30;3,26;19,78;11,07;79,78;15,43
2006-07-31;3,36;20,82;12,11;79,31;16,46
2006-08-31;2,54;19,32;9,21;74,15;14,26
2006-09-30;3,82;20,26;10,52;74,21;15,39
2006-10-31;4,12;25,5;15,34;73,63;20,42
2006-11-30;5,68;25,48;15,84;71,83;20,66
2006-12-31;2,86;30,08;18,85;71,38;24,46
2007-01-31;4,15;29,07;18,94;76,57;24,0
2007-02-28;5,38;29,02;18,57;75,71;23,8
2007-03-31;5,95;28,25;19,13;81,73;23,69
2007-04-30;3,82;25,42;16,09;80,51;20,75
2007-05-31;4,91;18,1;9,07;82,0;13,58
2007-06-30;3,95;18,23;9,4;79,84;13,82
2007-07-31;4,71;15,93;6,04;78,66;10,99
2007-08-31;4,1;18,24;8,25;80,6;13,25
2007-09-30;6,42;23,3;13,77;76,73;18,54
2007-10-31;5,02;24,69;15,55;78,85;20,12
2007-11-30;4,11;25,67;13,85;68,96;19,76
2007-12-31;3,64;29,67;17,31;68,3;23,49
2008-01-31;2,72;29,38;18,32;70,25;23,85
2008-02-29;3,76;29,15;17,99;72,38;23,57
2008-03-31;2,72;27,69;17,45;75,62;22,57
2008-04-30;4,5;24,44;13,36;73,96;18,9
2008-05-31;4,05;20,71;10,49;77,48;15,6
2008-06-30;4,92;16,65;8,14;82,09;12,4
2008-07-31;3,12;20,74;12,0;79,65;16,37
2008-08-31;4,27;19,82;9,97;79,15;14,89
2008-09-30;3,9;19,8;9,91;76,63;14,86
2008-10-31;8,18;22,86;14,03;78,86;18,44
2008-11-30;2,65;26,83;15,99;72,14;21,41
2008-12-31;2,4;28,41;16,93;69,25;22,67
2009-01-31;4,57;28,09;17,46;73,08;22,78
2009-02-28;5,47;28,66;18,66;76,41;23,66
2009-03-31;2,48;28,03;17,68;77,16;22,86
2009-04-30;0,68;26,35;14,19;71,32;20,27
2009-05-31;4,04;22,33;12,16;76,64;17,25
2009-06-30;2,24;17,13;7,24;80,66;12,18
2009-07-31;2,98;16,04;6,18;77,49;11,11
2009-08-31;5,63;21,17;10,73;76,19;15,95
2009-09-30;9,68;19,77;11,66;82,52;15,72
2009-10-31;3,73;24,1;12,86;74,95;18,48
2009-11-30;12,93;27,14;18,42;81,7;22,78
2009-12-31;5,41;27,83;18,34;77,68;23,09
2010-01-31;6,79;28,65;19,24;78,81;23,95
2010-02-28;6,74;29,67;20,15;78,11;24,91
2010-03-31;2,99;27,71;17,7;77,57;22,7
2010-04-30;4,33;24,19;14,15;76,39;19,17
2010-05-31;4,64;19,59;11,87;84,5;15,73
2010-06-30;3,29;18,64;9,68;81,16;14,16
2010-07-31;6,56;18,32;8,45;79,83;13,38
2010-08-31;1,64;18,88;8,95;76,65;13,92
2010-09-30;6,27;20,99;12,04;79,37;16,52
2010-10-31;2,2;22,89;11,83;72,64;17,36
2010-11-30;2,42;26,27;14,05;67,86;20,16
2010-12-31;4,26;28,62;17,37;70,47;22,99
2011-01-31;4,23;30,25;19,93;77,23;25,09
2011-02-28;6,42;28,09;19,37;80,98;23,73
2011-03-31;4,24;27,08;16,97;76,09;22,03
2011-04-30;4,56;24,83;14,46;77,67;19,65
2011-05-31;2,5;20,01;11,25;81,27;15,63
2011-06-30;4,92;17,25;8,56;81,66;12,9
2011-07-31;6,29;17,03;8,46;80,43;12,74
2011-08-31;5,12;18,43;9,3;79,66;13,86
2011-09-30;2,37;21,69;10,58;73,0;16,13
2011-10-31;5,28;23,67;13,62;75,05;18,65
2011-11-30;1,89;26,9;15,13;67,99;21,02
2011-12-31;1,96;27,87;16,17;67,59;22,02
2012-01-31;2,59;30,3;18,17;67,68;24,24
2012-02-29;4,1;30,77;19,86;71,86;25,32
2012-03-31;2,45;28,21;16,51;69,65;22,36
2012-04-30;3,09;24,09;13,85;74,55;18,97
2012-05-31;1,01;22,96;12,24;75,96;17,6
2012-06-30;2,87;18,85;9,01;78,91;13,93
2012-07-31;4,39;17,05;6,96;77,38;12,01
2012-08-31;2,55;22,94;13,1;74,96;18,02
2012-09-30;5,29;22,31;12,43;74,33;17,37
2012-10-31;6,98;24,23;15,36;78,29;19,8
2012-11-30;1,96;28,22;16,5;67,26;22,36
2012-12-31;7,28;29,4;18,98;74,08;24,19
2013-01-31;3,79;28,39;17,29;71,8;22,84
2013-02-28;5,42;28,36;18,35;76,95;23,36
2013-03-31;5,0;25,01;15,54;78,23;20,28
2013-04-30;4,03;24,73;13,81;75,0;19,27
2013-05-31;3,59;20,33;11,03;79,84;15,68
2013-06-30;3,36;18,15;9,51;84,67;13,83
2013-07-31;2,62;18,31;8,17;78,24;13,24
2013-08-31;6,58;18,08;8,16;77,04;13,12
2013-09-30;4,44;21,4;11,77;76,29;16,58
2013-10-31;4,92;24,09;13,42;73,88;18,75
2013-11-30;6,17;27,05;16,36;71,56;21,71
2013-12-31;3,07;30,36;18,58;69,61;24,47
2014-01-31;5,87;30,68;20,11;74,37;25,39
2014-02-28;7,07;30,14;19,77;74,95;24,95
2014-03-31;6,34;26,61;16,76;78,51;21,69
2014-04-30;3,62;24,53;15,35;78,49;19,94
2014-05-31;4,86;20,37;11,61;83,76;15,99
2014-06-30;7,68;18,1;10,49;84,89;14,3
2014-07-31;5,09;19,44;10,19;81,02;14,82
2014-08-31;2,73;21,54;10,25;75,04;15,89
2014-09-30;7,55;22,14;13,46;81,26;17,8
2014-10-31;6,08;25,81;15,76;75,65;20,78
2014-11-30;3,28;27,64;16,65;70,44;22,15
2014-12-31;6,8;28,01;18,25;75,46;23,13
2015-01-31;6,85;29,04;19,44;78,85;24,24
2015-02-28;4,19;28,75;18,94;79,43;23,85
2015-03-31;2,56;28,16;17,71;77,2;22,94
2015-04-30;3,32;25,46;14,81;76,29;20,13
2015-05-31;5,03;21,71;13,12;81,73;17,42
2015-06-30;5,75;19,53;10,29;81,12;14,91
2015-07-31;7,76;18,62;10,63;86,29;14,62
2015-08-31;3,15;23,63;14,22;75,35;18,92
2015-09-30;6,2;21,44;12,1;77,62;16,77
2015-10-31;9,09;22,79;14,16;80,54;18,47
2015-11-30;5,53;24,67;15,92;78,36;20,3
2015-12-31;9,91;27,4;18,67;80,07;23,03
2016-01-31;3,26;30,02;19,78;73,83;24,9
