id;tipo;produto;ano;Total
2;VINHO DE MESA;Tinto;2006;149552555
3;VINHO DE MESA;Branco;2006;31738390
4;VINHO DE MESA;Rosado;2006;3809942
6;VINHO FINO DE MESA (VINÍFERA);Tinto;2006;18868108
7;VINHO FINO DE MESA (VINÍFERA);Branco;2006;13249969
8;VINHO FINO DE MESA (VINÍFERA);Rosado;2006;50900
10;SUCO;Suco de uva integral;2006;13946491
11;SUCO;Suco de uva concentrado;2006;17414605
12;SUCO;Suco de uva adoçado;2006;0
13;SUCO;Suco de uva orgânico;2006;0
14;SUCO;Suco de uva reconstituído;2006;0
16;DERIVADOS;Espumante;2006;26600
17;DERIVADOS;Espumante moscatel;2006;320514
18;DERIVADOS;Base espumante;2006;0
19;DERIVADOS;Base espumante moscatel;2006;362589
20;DERIVADOS;Base Champenoise champanha;2006;0
21;DERIVADOS;Base Charmat champanha;2006;0
22;DERIVADOS;Bebida de uva;2006;0
23;DERIVADOS;Polpa de uva;2006;1006000
24;DERIVADOS;Mosto simples;2006;25903812
25;DERIVADOS;Mosto concentrado;2006;0
26;DERIVADOS;Mosto de uva com bagaço;2006;0
27;DERIVADOS;Mosto dessulfitado;2006;0
28;DERIVADOS;Mistelas;2006;0
29;DERIVADOS;Néctar de uva;2006;0
30;DERIVADOS;Licorosos;2006;0
31;DERIVADOS;Compostos;2006;0
32;DERIVADOS;Jeropiga;2006;0
33;DERIVADOS;Filtrado;2006;0
34;DERIVADOS;Frisante;2006;0
35;DERIVADOS;Vinho leve;2006;0
36;DERIVADOS;Vinho licoroso;2006;28500
37;DERIVADOS;Brandy;2006;0
38;DERIVADOS;Destilado;2006;0
39;DERIVADOS;Bagaceira;2006;24250
40;DERIVADOS;Licor de bagaceira;2006;0
41;DERIVADOS;Vinagre;2006;0
42;DERIVADOS;Borra líquida;2006;57333
43;DERIVADOS;Borra seca;2006;0
44;DERIVADOS;Vinho Composto;2006;0
45;DERIVADOS;Pisco;2006;0
46;DERIVADOS;Vinho orgânico;2006;22933
47;DERIVADOS;Espumante orgânico;2006;0
48;DERIVADOS;Destilado alcoólico simples de bagaceira ;2006;0
49;DERIVADOS;Vinho acidificado ;2006;0
50;DERIVADOS;Mosto parcialmente fermentado ;2006;0
51;DERIVADOS;Outros derivados;2006;0
2;VINHO DE MESA;Tinto;2007;228156220
3;VINHO DE MESA;Branco;2007;42118552
4;VINHO DE MESA;Rosado;2007;5013136
6;VINHO FINO DE MESA (VINÍFERA);Tinto;2007;24786071
7;VINHO FINO DE MESA (VINÍFERA);Branco;2007;17598428
8;VINHO FINO DE MESA (VINÍFERA);Rosado;2007;791985
10;SUCO;Suco de uva integral;2007;10147037
11;SUCO;Suco de uva concentrado;2007;19280709
12;SUCO;Suco de uva adoçado;2007;709098
13;SUCO;Suco de uva orgânico;2007;0
14;SUCO;Suco de uva reconstituído;2007;0
16;DERIVADOS;Espumante;2007;0
17;DERIVADOS;Espumante moscatel;2007;589332
18;DERIVADOS;Base espumante;2007;78250
19;DERIVADOS;Base espumante moscatel;2007;111200
20;DERIVADOS;Base Champenoise champanha;2007;0
21;DERIVADOS;Base Charmat champanha;2007;0
22;DERIVADOS;Bebida de uva;2007;0
23;DERIVADOS;Polpa de uva;2007;1083202
24;DERIVADOS;Mosto simples;2007;37558010
25;DERIVADOS;Mosto concentrado;2007;110000
26;DERIVADOS;Mosto de uva com bagaço;2007;0
27;DERIVADOS;Mosto dessulfitado;2007;0
28;DERIVADOS;Mistelas;2007;1900
29;DERIVADOS;Néctar de uva;2007;0
30;DERIVADOS;Licorosos;2007;0
31;DERIVADOS;Compostos;2007;0
32;DERIVADOS;Jeropiga;2007;0
33;DERIVADOS;Filtrado;2007;0
34;DERIVADOS;Frisante;2007;0
35;DERIVADOS;Vinho leve;2007;0
36;DERIVADOS;Vinho licoroso;2007;27926
37;DERIVADOS;Brandy;2007;0
38;DERIVADOS;Destilado;2007;0
39;DERIVADOS;Bagaceira;2007;48500
40;DERIVADOS;Licor de bagaceira;2007;0
41;DERIVADOS;Vinagre;2007;0
42;DERIVADOS;Borra líquida;2007;2095873
43;DERIVADOS;Borra seca;2007;0
44;DERIVADOS;Vinho Composto;2007;0
45;DERIVADOS;Pisco;2007;0
46;DERIVADOS;Vinho orgânico;2007;307410
47;DERIVADOS;Espumante orgânico;2007;0
48;DERIVADOS;Destilado alcoólico simples de bagaceira ;2007;0
49;DERIVADOS;Vinho acidificado ;2007;0
50;DERIVADOS;Mosto parcialmente fermentado ;2007;0
51;DERIVADOS;Outros derivados;2007;0
2;VINHO DE MESA;Tinto;2008;241057928
3;VINHO DE MESA;Branco;2008;42942053
4;VINHO DE MESA;Rosado;2008;3506830
6;VINHO FINO DE MESA (VINÍFERA);Tinto;2008;27583032
7;VINHO FINO DE MESA (VINÍFERA);Branco;2008;18812571
8;VINHO FINO DE MESA (VINÍFERA);Rosado;2008;938898
10;SUCO;Suco de uva integral;2008;11817941
11;SUCO;Suco de uva concentrado;2008;23014646
12;SUCO;Suco de uva adoçado;2008;815407
13;SUCO;Suco de uva orgânico;2008;0
14;SUCO;Suco de uva reconstituído;2008;0
16;DERIVADOS;Espumante;2008;88690
17;DERIVADOS;Espumante moscatel;2008;1113462
18;DERIVADOS;Base espumante;2008;220120
19;DERIVADOS;Base espumante moscatel;2008;474721
20;DERIVADOS;Base Champenoise champanha;2008;0
21;DERIVADOS;Base Charmat champanha;2008;0
22;DERIVADOS;Bebida de uva;2008;1082700
