Ano;Vinhos;Total;Tipo
2006;Total;22335925;Brancas/Rosadas
2007;Total;28254191;Brancas/Rosadas
2008;Total;34602464;Brancas/Rosadas
2009;Total;32556903;Brancas/Rosadas
2010;Total;22104122;Brancas/Rosadas
2011;Total;37931015;Brancas/Rosadas
2012;Total;36519724;Brancas/Rosadas
2013;Total;36958341;Brancas/Rosadas
2014;Total;35769155;Brancas/Rosadas
2015;Total;40130577;Brancas/Rosadas
2016;Total;18769366;Brancas/Rosadas
2017;Total;44058213;Brancas/Rosadas
2018;Total;38722156;Brancas/Rosadas
2020;Total;41004206;Brancas/Rosadas
2021;Total;71266239;Brancas/Rosadas
2011;Aligote;2640;Brancas/Rosadas
2007;Alvarinho;2477;Brancas/Rosadas
2008;Alvarinho;1071;Brancas/Rosadas
2009;Alvarinho;1675;Brancas/Rosadas
2010;Alvarinho;1088;Brancas/Rosadas
2011;Alvarinho;6668;Brancas/Rosadas
2012;Alvarinho;5081;Brancas/Rosadas
2013;Alvarinho;12413;Brancas/Rosadas
2014;Alvarinho;16147;Brancas/Rosadas
2015;Alvarinho;9860;Brancas/Rosadas
2016;Alvarinho;16369;Brancas/Rosadas
2017;Alvarinho;41225;Brancas/Rosadas
2018;Alvarinho;32647;Brancas/Rosadas
2020;Alvarinho;46574;Brancas/Rosadas
2021;Alvarinho;242238;Brancas/Rosadas
2006;Arriloba;27410;Brancas/Rosadas
2007;Arriloba;22832;Brancas/Rosadas
2008;Arriloba;51380;Brancas/Rosadas
2009;Arriloba;35375;Brancas/Rosadas
2010;Arriloba;33750;Brancas/Rosadas
2011;Arriloba;38390;Brancas/Rosadas
2012;Arriloba;40000;Brancas/Rosadas
2013;Arriloba;28829;Brancas/Rosadas
2014;Arriloba;31140;Brancas/Rosadas
2015;Arriloba;34120;Brancas/Rosadas
2016;Arriloba;17070;Brancas/Rosadas
2017;Arriloba;5280;Brancas/Rosadas
2018;Arriloba;2580;Brancas/Rosadas
2020;Arriloba;2940;Brancas/Rosadas
2006;Chardonnay;1830171;Brancas/Rosadas
2007;Chardonnay;1752488;Brancas/Rosadas
2008;Chardonnay;5829449;Brancas/Rosadas
2009;Chardonnay;4812743;Brancas/Rosadas
2010;Chardonnay;3836555;Brancas/Rosadas
2011;Chardonnay;4916344;Brancas/Rosadas
2012;Chardonnay;6347044;Brancas/Rosadas
2013;Chardonnay;6174156;Brancas/Rosadas
2014;Chardonnay;5821514;Brancas/Rosadas
2015;Chardonnay;7253167;Brancas/Rosadas
2016;Chardonnay;3070142;Brancas/Rosadas
2017;Chardonnay;7856910;Brancas/Rosadas
2018;Chardonnay;6068902;Brancas/Rosadas
2020;Chardonnay;6514864;Brancas/Rosadas
2021;Chardonnay;4200465;Brancas/Rosadas
2006;Chasselas;111200;Brancas/Rosadas
2007;Chasselas;48268;Brancas/Rosadas
2008;Chasselas;58390;Brancas/Rosadas
2009;Chasselas;32425;Brancas/Rosadas
2010;Chasselas;47099;Brancas/Rosadas
2011;Chasselas;29543;Brancas/Rosadas
2006;Chenin Blanc;400160;Brancas/Rosadas
2007;Chenin Blanc;355185;Brancas/Rosadas
2008;Chenin Blanc;362750;Brancas/Rosadas
2009;Chenin Blanc;347230;Brancas/Rosadas
2010;Chenin Blanc;73720;Brancas/Rosadas
2011;Chenin Blanc;212900;Brancas/Rosadas
2012;Chenin Blanc;257090;Brancas/Rosadas
2013;Chenin Blanc;264090;Brancas/Rosadas
2014;Chenin Blanc;146760;Brancas/Rosadas
2015;Chenin Blanc;173321;Brancas/Rosadas
