data;precipitacao_total;temp_max;temp_min;humid_media;temp_media
2006-12-31;3,57;24,67;14,69;73,77;19,68
2007-12-31;4,68;23,76;13,8;77,39;18,78
2008-12-31;3,93;23,87;13,71;75,63;18,79
2009-12-31;4,97;23,86;13,77;77,15;18,82
2010-12-31;4,33;23,67;13,75;76,94;18,71
2011-12-31;4,14;23,57;13,62;76,53;18,59
2012-12-31;3,72;24,93;14,4;73,75;19,66
2013-12-31;4,41;23,66;13,46;76,07;18,56
2014-12-31;5,57;24,56;14,86;77,83;19,71
2015-12-31;5,8;24,25;14,99;79,42;19,62
2016-12-31;4,36;23,76;13,82;77,76;18,79
2017-12-31;5,18;24,87;14,76;76,89;19,81
2018-12-31;4,56;24,21;14,09;77,8;19,15
2019-12-31;4,64;24,76;14,47;77,02;19,61
2020-12-31;3,58;24,95;13,63;72,98;19,29
2021-12-31;3,63;24,4;13,56;75,61;18,98
