Nome: RIO GRANDE
Codigo Estacao: A802
Latitude: -32.07888888
Longitude: -52.16777777
Altitude: 4.92
Situacao: Operante
Data Inicial: 2006-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-01-01;20.6;1009.208333;25.5;21.870833;19.1;83.333333;69;9.4;3.8125;
2006-01-02;0;1009.391667;26;22.508333;20.6;77.75;62;8.7;4.554167;
2006-01-03;.2;1010.4;26.1;20.929167;15.4;78.083333;55;8.7;3.245833;
2006-01-04;0;1009.9875;24.5;20.008333;16.5;74.833333;55;9.4;3.3625;
2006-01-05;0;1010.4125;25.1;19.275;13.2;70.791667;45;9.9;2.795833;
2006-01-06;0;1010.854167;29.1;22.795833;17.7;66.083333;29;9.5;3.341667;
2006-01-07;0;1010.179167;34.5;27.1125;22.4;60.958333;25;10.2;4.454167;
2006-01-08;0;1008.804167;35.6;25.843478;24.1;70.958333;43;21.2;5.570833;
2006-01-09;3;1011.316667;27.2;23.679167;20.6;79;61;13.1;4.079167;
2006-01-10;2;1009.591667;36.2;26.395833;22.3;76.166667;44;14.9;4.083333;
2006-01-11;4.8;1014.458333;30.4;25.520833;22.9;81.333333;55;9.9;4.766667;
2006-01-12;0;1011.204167;32.7;27.804167;24.3;69.541667;49;11.8;4.979167;
2006-01-13;33.6;1015.016667;28.6;23.670833;20.2;83.291667;59;18.6;4.533333;
2006-01-14;0;1014.6125;28.2;24.9625;23;83.458333;73;9.6;4.666667;
2006-01-15;0;1009.683333;33.8;25.966667;24;91.166667;65;19;3.516667;
2006-01-16;29.2;1011.329167;26.2;23.283333;21.8;94.526316;83;13.7;5.129167;
2006-01-17;13;1019.775;22.7;20.654167;18.5;75.416667;66;11.8;5.95;
2006-01-18;0;1018.420833;25;21.275;17;75.208333;66;10.8;5.095833;
2006-01-19;.8;1011.791667;23.3;21.420833;19.5;90.4;76;13;5.683333;
2006-01-20;21.8;1008.670833;29.2;23.508333;19.4;88.866667;78;8.4;2.820833;
2006-01-21;17.8;1010.8375;23.9;21.745833;19.9;null;97;11.3;3.970833;
2006-01-22;6.4;1013.020833;25.4;21.508333;18.1;null;null;11.9;4.25;
2006-01-23;0;1012.316667;25;21.975;19.5;null;null;11.1;5.104167;
2006-01-24;.2;1009.270833;23.7;21.754167;20.6;null;null;11.1;5.958333;
2006-01-25;.4;1006.266667;26.7;22.604167;20.3;null;null;10.8;4.166667;
2006-01-26;11;1015.1875;23.7;20.204167;16.4;null;null;9.3;4.254167;
