Nome: URUGUAIANA
Codigo Estacao: A809
Latitude: -29.83999999
Longitude: -57.08194443
Altitude: 74.29
Situacao: Operante
Data Inicial: 2006-09-27
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-09-27;0;1005.945833;22.6;18.895833;17.4;77.75;53;14.5;4.629167;
2006-09-28;23.4;1010.581818;23.5;19.504545;17;75.954545;40;10.4;3.281818;
2006-09-29;0;1011.245833;22.7;15.5875;9.9;71.708333;44;11.1;4.804167;
2006-09-30;0;1007.516667;26.6;18.9;12;71.625;57;10.1;4.625;
2006-10-01;0;1003.775;29.7;22.895833;16.9;74.25;54;11.7;4.5;
2006-10-02;0;1003.025;29.5;23.008333;17.2;72.375;42;9.7;4.295833;
2006-10-03;0;1000.883333;28.8;23.6625;18.7;70.916667;49;8.6;3.254167;
2006-10-04;0;997.516667;27.8;22.9375;19.4;78.875;61;15.3;5.154167;
2006-10-05;38.4;1004.466667;21.9;17.7125;14.4;73.833333;34;16.8;4.170833;
2006-10-06;0;1008.041667;22.9;15.845833;9.6;66.583333;43;10.8;4.216667;
2006-10-07;0;1008.6;24.6;17.7;11.4;69.333333;37;8.6;2.341667;
2006-10-08;0;1008.9;25;17.9875;11.9;69;38;9.8;3.354167;
2006-10-09;0;1005.625;28.7;20.345833;12.4;68.875;46;7.2;3.325;
2006-10-10;0;1002.633333;32.8;23.795833;19.6;78.708333;50;19.8;3.691667;
