Nome: CAPAO DO LEAO (PELOTAS)
Codigo Estacao: A887
Latitude: -31.8025
Longitude: -52.40722222
Altitude: 13
Situacao: Operante
Data Inicial: 2019-07-17
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-07-17;null;null;null;null;null;null;null;null;null;
2019-07-18;null;null;null;null;null;null;52;8.1;null;
2019-07-19;null;1019.3375;23.4;13.991667;8.1;85.791667;51;5;1.2375;
2019-07-20;0;1016.208333;26.3;17.804167;9.8;81.25;40;6.2;1.995833;
2019-07-21;0;1010.725;26.5;18.775;13.2;79.291667;52;9.3;3.179167;
2019-07-22;0;1010.975;20.1;17.2875;16.5;87.833333;68;10.4;3.1;
2019-07-23;42.2;1016.304167;17.2;15.1;14.1;97.916667;93;6.6;1.966667;
2019-07-24;19.8;1020.933333;15.8;13.675;12.2;95.833333;83;12.1;2.875;
2019-07-25;25.4;1022.125;16;14.283333;12.2;93.666667;86;13.3;4.058333;
2019-07-26;34.2;1017.508333;18.1;15.404167;13.9;84.75;60;13;3.720833;
2019-07-27;.6;1024.475;15.1;12.233333;10.2;79.833333;66;9.5;3.425;
2019-07-28;0;1025.325;15.6;10.216667;4.8;88.583333;63;10;2.145833;
2019-07-29;0;1018.329167;17.2;14.308333;7.7;91.625;76;6;1.8125;
2019-07-30;2.6;1015.6625;17.4;14.75;14.1;84.25;64;10;3.020833;
2019-07-31;0;1013.804167;23.1;13.429167;6.4;80.166667;44;7.4;2.316667;
2019-08-01;0;1007.75;22.3;13.754167;10.8;90.5;66;16.5;3.345833;
2019-08-02;21.8;1017.758333;14.6;11.254167;8.5;61.529412;46;14.9;4.666667;
2019-08-03;0;1023.920833;14.4;9.983333;7.4;65.583333;45;13.8;5.1125;
2019-08-04;0;1030.116667;14.3;8.070833;3.6;73.833333;40;6.1;2.0875;
2019-08-05;0;1028.208333;18.5;9.791667;3.4;82.375;47;9.6;2.475;
2019-08-06;0;1020.870833;25;14.354167;6.5;82.75;52;7.8;2.629167;
2019-08-07;0;1017.554167;27;18.25;12;80.5;47;8.5;1.7875;
2019-08-08;0;1020.734783;19;14.595652;13.5;94.565217;81;11;3.108696;
2019-08-09;26.8;1015.104167;18.2;15.8375;13.1;96.791667;92;8.8;2.5625;
2019-08-10;18.4;1014.308333;18.7;14.204167;12.8;85.375;69;12.8;3.783333;
2019-08-11;0;1019.490909;16.3;11.245455;5.6;84.363636;63;9.3;2.668182;
2019-08-12;null;null;null;null;null;89;76;9.8;null;
2019-08-13;1.2;1026.125;12.5;8.808333;6.4;70.208333;48;15.1;6.466667;
2019-08-14;0;1032.654167;13.4;7.3625;2.6;77.958333;50;8.2;3.2625;
2019-08-15;0;1025.8;18.7;10.916667;4.8;83.416667;49;9.1;2.566667;
2019-08-16;0;1017.408333;20.6;13.2875;7;84.833333;61;5.6;1.995833;
2019-08-17;0;1007.370833;28.3;20.425;10.7;82.285714;47;15.7;3.054167;
2019-08-18;0;1016.85;15.9;11.683333;9.9;78.791667;66;11.5;5.075;
2019-08-19;0;1025.295833;12.8;8.2;4.6;73.75;58;11.9;3.775;
2019-08-20;0;1027.1;12.1;8.058333;4.4;79.583333;58;8.5;2.975;
2019-08-21;0;1027.666667;12.9;9.616667;7.5;81.208333;65;6.7;2.533333;
2019-08-22;0;1026.3875;15.4;8.525;2.2;92.166667;70;5.8;1.883333;
2019-08-23;0;1024.691667;16.4;10.85;7.6;93.631579;62;7;2.795833;
2019-08-24;0;1025.0875;18.6;10.758333;5;90.380952;66;10;2.225;
2019-08-25;0;1023.075;18.7;15.404167;7.9;77.916667;66;16.2;5.804167;
2019-08-26;0;1019.720833;19.6;15.704167;13.4;86.333333;69;13.3;2.208333;
2019-08-27;1.2;1021.995833;23.1;14.870833;9.5;90.291667;59;7.7;1.825;
2019-08-28;0;1018.070833;22.1;15.779167;11.8;92;70;7.5;3.025;
2019-08-29;0;1010.320833;31.9;22.079167;12.8;71.708333;35;8.9;2.5625;
2019-08-30;0;1011.420833;25;16.625;15.7;92.791667;63;11.1;3.125;
2019-08-31;30.4;1014.104167;18.2;14.8375;12.9;86.041667;61;10.5;3.266667;
2019-09-01;.2;1017.545833;18.4;12.620833;7.4;71.708333;29;9.4;2.541667;
2019-09-02;0;1016.558333;18.4;11.020833;4.3;76.363636;40;6.9;1.616667;
2019-09-03;0;1019.558333;13.7;10.354167;7.6;69.75;40;9.9;2.829167;
2019-09-04;0;1024.983333;14.7;8.8125;4.7;59.478261;34;12.2;4.091667;
2019-09-05;0;1029.975;14.5;8.7;4;76.818182;53;9.3;2.866667;
2019-09-06;0;1021.479167;17.9;14.129167;8.8;85.411765;66;17.4;5.6625;
2019-09-07;8;1012.8125;17.8;16.2;14.9;95.117647;91;13.2;4.1875;
2019-09-08;32.8;1011.316667;20.2;18.1625;15.9;null;95;10.2;2.854167;
2019-09-09;16.4;1006.016667;31.2;21.108333;16.2;null;null;11.8;3.775;
2019-09-10;5.8;1014.533333;27.3;14.791667;13.8;94.105263;84;12.8;2.904167;
2019-09-11;39.4;1013.554167;15.6;14.691667;12.7;97.083333;94;9.2;3.020833;
2019-09-12;30.2;1015;18.6;15.495833;14.8;94.578947;83;10.5;3.64;
2019-09-13;0;1022.783333;17.7;13.320833;10.1;91.153846;73;7.2;2.045833;
2019-09-14;0;1017.6375;18.4;14.841667;8.6;null;72;13.3;4.341667;
2019-09-15;0;1009.170833;25.6;19.108333;15.2;null;null;9.6;2.691667;
2019-09-16;.6;1010.7125;19.7;16.175;16.1;null;null;12;3.466667;
2019-09-17;8.8;1013.729167;18.3;13.65;9.2;null;72;6.8;2.629167;
2019-09-18;0;1009.154167;19.9;14.179167;8;null;52;10.8;2.691667;
2019-09-19;0;1006.65;20.6;15.279167;10.6;null;84;7.8;2.6;
2019-09-20;0;1016.391667;16.3;12.85;11.1;null;null;12.4;3.466667;
2019-09-21;0;1021.183333;20.3;11.25;2.1;82.25;53;6.2;1.545833;
2019-09-22;0;1025.875;17.7;12.720833;8.6;null;66;11.9;3.458333;
2019-09-23;0;1027.791667;18.6;11.358333;3.8;null;74;12;2.8375;
2019-09-24;0;1022.158333;21.3;15.275;8.8;null;94;6.9;2.008333;
2019-09-25;0;1019.945833;21.8;15.958333;11;null;null;7.4;1.779167;
2019-09-26;0;1018.791667;25.8;18.141667;14;null;null;11.2;2.7125;
2019-09-27;0;1021.883333;19.8;14.804167;10.5;null;null;9.2;3.4625;
2019-09-28;0;1019.4125;19.3;16.3125;14;null;null;12.2;5.025;
2019-09-29;0;1014.45;23.6;18.5375;15;null;null;9.8;3.804167;
2019-09-30;0;1007.8375;27.9;20.975;16.4;null;null;13.4;5.395833;
2019-10-01;0;1003.370833;27.2;21.479167;18.2;null;null;13.2;3.625;
2019-10-02;18.4;1008.845833;22.5;18.870833;17.7;null;null;13.5;4.533333;
2019-10-03;9.8;1020.9375;19.4;16.6125;15.1;null;null;11.7;4.15;
2019-10-04;24.8;1014.341667;19.7;17.329167;15.3;null;null;11.6;4.295833;
2019-10-05;7.2;1013.879167;19.3;16.316667;15.4;null;null;11.2;4.7;
2019-10-06;.2;1020.241667;19.8;15.2375;11.9;null;null;7.9;2.808333;
2019-10-07;0;1016.35;23.5;16.8625;10.4;null;null;9.6;2.454167;
2019-10-08;0;1015.508333;24.9;18.5125;11.7;null;null;8.7;2.220833;
2019-10-09;0;1016.8;25.5;18.85;11.7;null;null;9.7;2.533333;
2019-10-10;0;1012.725;31.9;21.895833;14.4;null;null;8.9;2.445833;
2019-10-11;0;1009.091667;34.7;23.170833;17.6;null;null;15;2.8875;
2019-10-12;0;1007.9625;28.3;21.8375;18.9;null;null;11.1;3.804167;
2019-10-13;0;1010.633333;23.4;20.404167;19.6;null;null;19.3;3.854167;
2019-10-14;21.4;1022.4;18.7;14.341667;13.9;null;null;13.2;3.9625;
2019-10-15;10.6;1024.683333;17.8;15.475;11.7;null;null;13.5;4.920833;
2019-10-16;1.8;1020.558333;17.3;16.4875;15.5;null;null;14;6.2375;
2019-10-17;30;1015.75;18.9;18.008333;16.3;null;null;13.8;5.583333;
2019-10-18;20.2;1013.333333;24;20.104167;17.9;null;null;14.3;4.079167;
2019-10-19;0;1020.120833;19.8;15.754167;12.7;null;null;10;3.608333;
2019-10-20;0;1018.441667;19.8;15.358333;12.6;null;null;10.7;2.7375;
2019-10-21;1.6;1012.745833;17.1;15.6875;15.1;null;null;15.5;3.029167;
2019-10-22;8.4;1014.3125;21.8;16.129167;11.7;null;null;7.3;2.9125;
2019-10-23;0;1014.858333;25.9;18.9875;12.5;null;null;7.7;2.091667;
2019-10-24;0;1013.3375;26.3;19.208333;12.5;null;null;11;2.7625;
2019-10-25;0;1016.008333;26.5;18.675;11.3;null;null;5.5;1.641667;
2019-10-26;0;1013.370833;27.8;20.566667;13;null;null;10.3;3.329167;
2019-10-27;12.8;1008.4125;24.9;21.3625;19.4;null;null;12.4;2.883333;
2019-10-28;.2;1004.929167;29.8;22.320833;18.2;null;null;10.8;2.908333;
2019-10-29;33.2;1006.225;22.9;20.233333;19.2;null;null;17.7;3.8875;
2019-10-30;40.4;1008.820833;21.6;19.5125;18.3;null;null;16.9;3.6875;
2019-10-31;18;1016.525;22.5;19.258333;16.9;null;null;11.1;4.029167;
2019-11-01;0;1017.75;22.8;20.354167;18.3;null;null;14.1;6.720833;
2019-11-02;0;1009.9875;24.7;21.695833;20;null;null;14.5;4.295833;
2019-11-03;13.2;1010.241667;23.1;19.920833;17.5;null;null;11.6;2.7375;
2019-11-04;0;1006.170833;22;18.683333;14.9;null;null;10.5;2.9;
2019-11-05;27.6;1009.854167;23;19.554167;16.9;null;null;13.5;3.425;
2019-11-06;0;1017.15;22.2;17.245833;10.4;null;null;9.2;2.945833;
2019-11-07;0;1011.875;26;20.320833;15;null;null;8.2;2.1375;
2019-11-08;0;1012.675;25.3;20.104167;15.2;null;null;7.5;2.325;
2019-11-09;0;1012.920833;25.3;22.333333;20.2;null;null;11.6;4.666667;
2019-11-10;6.2;1016.4125;25.4;22.0125;20;null;null;10.7;4.291667;
2019-11-11;0;1020.154167;23.1;20.5375;19.1;null;null;14;5.970833;
2019-11-12;1;1015.55;24.3;21.120833;18.2;null;null;13.6;6.933333;
2019-11-13;0;1008.679167;26.7;22.616667;20.1;null;null;12.5;4.125;
2019-11-14;19.6;1006.766667;27.7;22.341667;19.2;null;null;11.2;2.95;
2019-11-15;.2;1011.0375;23.6;19.358333;16;null;null;9.5;3.566667;
2019-11-16;0;1011.183333;26.8;19.475;12.7;null;null;6.4;1.741667;
2019-11-17;0;1011.4125;28.1;21.670833;14.4;null;null;6.9;2.1375;
2019-11-18;0;1013.779167;29.7;22.929167;16.4;null;null;9.6;2.983333;
2019-11-19;0;1014.529167;26.6;22.820833;19.5;null;null;11;3.7125;
2019-11-20;0;1013.645833;27.5;23.954167;20.6;null;null;9.7;4.158333;
2019-11-21;0;1011.770833;26.8;24.158333;21.5;null;null;8.9;3.458333;
2019-11-22;0;1008.875;24.5;22.720833;22.2;null;null;15.1;3.745833;
2019-11-23;24.8;1016.820833;23.1;20.025;18;null;null;11.7;3.845833;
2019-11-24;0;1017.925;22.8;19.454167;16.4;null;null;10.7;4.520833;
2019-11-25;0;1012.9875;24.6;20.529167;18;null;null;15.5;6.683333;
2019-11-26;0;1007.841667;23.5;21.3375;19.9;null;null;15.9;4.6625;
2019-11-27;6.4;1009;24.9;20.670833;17.6;null;null;11.5;3.675;
2019-11-28;0;1013.770833;26.7;19.55;11.3;null;null;9;2.25;
2019-11-29;0;1009.108333;30.1;21.95;14.6;null;null;10.5;4.016667;
2019-11-30;0;1006.6625;31.7;24.191667;18.3;null;null;8.9;2.25;
2019-12-01;0;1013.8875;24.7;20.483333;17.6;null;null;12.8;4.05;
2019-12-02;0;1016.591667;22.6;16.6875;10.2;null;null;9.7;2.816667;
2019-12-03;0;1012.083333;25;18.233333;10.7;null;null;11.1;3.070833;
2019-12-04;0;1008.133333;30.2;22.9625;16.1;null;null;8.9;2.5625;
2019-12-05;0;1007.870833;26.2;21.1;18.7;null;null;13.1;4.545833;
