Nome: SERAFINA CORREA
Codigo Estacao: A894
Latitude: -28.70472222
Longitude: -51.87083332
Altitude: 545
Situacao: Operante
Data Inicial: 2016-03-31
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-03-31;null;null;null;null;null;null;null;null;null;
2016-04-01;null;null;null;null;null;null;null;null;null;
2016-04-02;null;null;null;null;null;null;null;null;null;
2016-04-03;null;null;null;null;null;null;null;null;null;
2016-04-04;null;null;null;null;null;null;null;null;null;
2016-04-05;null;null;null;null;null;null;null;null;null;
2016-04-06;null;null;null;null;null;null;null;null;null;
2016-04-07;null;null;null;null;null;null;null;null;null;
2016-04-08;null;null;null;null;null;null;47;12.1;null;
2016-04-09;7.4;956.8625;27.3;21.641667;17.3;86.375;62;10.8;.9125;
2016-04-10;2.8;958.208333;25.7;21.8125;19.8;90.25;74;4.7;1.1125;
2016-04-11;20.6;959.958333;22.7;20.745833;19.6;92.458333;81;3.8;.720833;
2016-04-12;5.6;961.3;25.1;21.129167;19.2;88.375;72;6.6;1.054167;
2016-04-13;0;959.154167;28.2;21.383333;18.1;87.166667;59;16.9;1.3375;
2016-04-14;17.2;958.758333;28.3;21.3;16.3;84.416667;57;5.5;1.308333;
2016-04-15;.2;957.845833;32.2;23.25;16.8;76.291667;36;7.8;1.129167;
2016-04-16;0;957.958333;33;25.341667;19.7;72.958333;40;10.5;1.441667;
2016-04-17;0;959.666667;33.4;25.220833;19.7;75.083333;36;8.6;1.0875;
2016-04-18;0;959.370833;32.6;23.920833;18.6;79.166667;37;7;.8875;
2016-04-19;0;957.116667;32.1;23.916667;17.8;71.541667;34;13.4;1.8;
2016-04-20;0;956.491667;33.2;24.2;17.4;71.083333;31;9.6;1.366667;
2016-04-21;0;955.5875;30.9;22.075;18.8;82.125;42;11.7;1.6125;
2016-04-22;1.8;959.125;21.8;19.6875;18.2;90.291667;76;5.6;.8875;
2016-04-23;2.4;955.025;27.2;21.591667;18.1;89.083333;65;7.9;1.120833;
2016-04-24;1.8;952.333333;30.3;22.966667;18.8;79.25;45;10.2;1.429167;
2016-04-25;53.8;948.816667;22.2;20.325;17.9;87.208333;74;11.5;1.995455;
2016-04-26;26.4;953.629167;20.8;12.379167;13.5;92.083333;81;9.4;1.533333;
2016-04-27;19.6;961.366667;12.9;8.654167;5.7;79.166667;43;10;1.566667;
2016-04-28;0;964.8;13.4;7.166667;1.8;75.333333;40;6;1;
2016-04-29;.2;964.233333;13.9;6.183333;2;87;48;5.5;.933333;
2016-04-30;0;964.05;14.9;7.8125;2.8;79.208333;39;7.8;.970833;
2016-05-01;0;964.1625;20.4;7.7875;.9;83.875;37;4.9;.679167;
2016-05-02;0;963.373913;22.5;10.486957;3.1;85.454545;30;8.7;.76087;
2016-05-03;0;962.954167;20.8;13.65;6;84;58;5.4;.925;
2016-05-04;0;962.529167;22.3;13.275;9;83.958333;43;3.7;.866667;
2016-05-05;0;962.591667;21.1;12.704167;8.5;89.375;57;5.4;.920833;
2016-05-06;0;961.804167;15.7;12.870833;10.3;91.75;83;4.1;1.066667;
2016-05-07;0;962.65;19.2;14.95;11.4;89.291667;75;4.2;.9875;
2016-05-08;0;960.229167;24;17.433333;14.3;85.041667;53;6.6;.916667;
2016-05-09;.6;958.5;22.3;17.7125;14.6;87.666667;65;4.2;.691667;
2016-05-10;0;959.216667;20;17.616667;16.6;88.541667;74;6.1;.945833;
2016-05-11;.4;962.433333;19.1;16.270833;15.1;85.833333;66;5.8;1.220833;
2016-05-12;0;964.9375;14.9;12.220833;11.5;90.791667;83;6.3;1.25;
2016-05-13;0;965.691667;14.6;11.920833;10.2;92.208333;83;4.9;1.141667;
2016-05-14;0;963.270833;24.9;15.65;8.2;83.458333;53;6.2;.8375;
2016-05-15;0;955.15;21;17.145833;13.2;80.166667;61;17.2;2.7;
2016-05-16;23.2;957.925;17.6;13.591667;12.4;79.166667;62;7.9;2.341667;
2016-05-17;.2;961.3;13.8;8.908333;6.1;78;49;6.4;1.3375;
2016-05-18;0;962.975;13.3;6.129167;1.8;86.666667;54;6;.9375;
2016-05-19;0;964.6;16.1;6.5875;.9;86.333333;54;5.7;.833333;
2016-05-20;0;962.475;15.2;9.270833;3.1;95.833333;86;3.5;.725;
2016-05-21;5;960.966667;13.8;12.166667;6.8;92.125;83;4.9;1.1;
2016-05-22;2.4;960.3875;13;11.804167;11.3;94.416667;89;5.4;.829167;
2016-05-23;3.6;967.120833;13.9;9.829167;4.2;80.416667;54;7.4;1.283333;
2016-05-24;.2;970.383333;17.8;8.720833;1.8;84.958333;51;4.4;.833333;
2016-05-25;0;966.508333;21.1;11.516667;4.3;83.375;51;8.4;1.0625;
2016-05-26;1.2;962.808333;19;14.7375;9.6;88.833333;70;3.4;.579167;
2016-05-27;0;963.220833;16.8;14.204167;12.9;91.75;81;5.4;1.15;
2016-05-28;0;964.65;21.3;15.425;11.8;87.625;62;6.3;.958333;
2016-05-29;1.2;958.908333;18.2;16.275;12.9;89.958333;75;4.4;.975;
2016-05-30;8.4;956.266667;17;14.725;13.4;86.916667;71;6.4;1.475;
2016-05-31;0;957.195833;16;12.845833;10.7;84.25;64;7.1;1.179167;
2016-06-01;0;957.591667;16.8;9.770833;5.9;90.583333;60;5;.795833;
2016-06-02;0;957.070833;17.9;10.829167;7;79.958333;31;4.8;.925;
2016-06-03;0;957.229167;14.3;7.658333;3;85.833333;57;9;1.279167;
2016-06-04;0;957.829167;12.7;7.141667;3.9;92.041667;74;3.6;.754167;
2016-06-05;0;958.05;12.2;8.395833;4;85.625;63;4.7;1.033333;
2016-06-06;0;958.75;11.6;6.591667;2.5;87.75;62;6.1;.754167;
2016-06-07;0;961.7625;13.2;5.479167;1.3;87.375;51;8.7;1.325;
2016-06-08;0;963.820833;13.4;6.433333;1.9;75.583333;33;9.2;1.645833;
2016-06-09;0;966.0375;14.1;3.645833;-4;74.291667;29;5.2;.7125;
2016-06-10;0;965.645833;13.8;4.15;-2.9;79.458333;44;10.1;1.7;
2016-06-11;0;968.433333;10.9;1.895833;-4.9;80.25;37;9.7;1.216667;
2016-06-12;0;970.429167;14.1;2.7875;-5.1;75.708333;31;5.7;.845833;
2016-06-13;0;970.3375;18.4;4.3625;-4.5;76;28;5.2;.758333;
2016-06-14;0;968.275;20.5;10.020833;.3;71.333333;31;7.9;1.208333;
2016-06-15;0;966.495833;22.3;11.695833;4.5;76.958333;37;6.1;.708333;
2016-06-16;0;964.05;20.3;14.2625;9.7;84.666667;52;6.1;.754167;
2016-06-17;10.4;963.1625;14;11.966667;11.3;93.5;84;4.9;1.0375;
2016-06-18;0;965.866667;13.4;8.008333;4.9;86.458333;61;5.2;.954167;
2016-06-19;.2;966.920833;13.9;6.258333;2.8;87.375;43;5.9;1.104167;
2016-06-20;0;967.804167;13.5;5.129167;1.1;88.041667;57;5.6;1.025;
2016-06-21;0;968.104167;15.6;7.995833;-1.1;77.708333;45;9;1.504167;
2016-06-22;.4;965.125;16;12.358333;2.8;84.875;66;5;.829167;
