;Ano;Vinhos;Total;Tipo
0;2006;Total;22335925;Brancas/Rosadas
1;2007;Total;28254191;Brancas/Rosadas
2;2008;Total;34602464;Brancas/Rosadas
3;2009;Total;32556903;Brancas/Rosadas
4;2010;Total;22104122;Brancas/Rosadas
5;2011;Total;37931015;Brancas/Rosadas
6;2012;Total;36519724;Brancas/Rosadas
7;2013;Total;36958341;Brancas/Rosadas
8;2014;Total;35769155;Brancas/Rosadas
9;2015;Total;40130577;Brancas/Rosadas
10;2016;Total;18769366;Brancas/Rosadas
11;2017;Total;44058213;Brancas/Rosadas
12;2018;Total;38722156;Brancas/Rosadas
14;2020;Total;41004206;Brancas/Rosadas
15;2021;Total;71266239;Brancas/Rosadas
37;2011;Aligote;2640;Brancas/Rosadas
65;2007;Alvarinho;2477;Brancas/Rosadas
66;2008;Alvarinho;1071;Brancas/Rosadas
67;2009;Alvarinho;1675;Brancas/Rosadas
68;2010;Alvarinho;1088;Brancas/Rosadas
69;2011;Alvarinho;6668;Brancas/Rosadas
70;2012;Alvarinho;5081;Brancas/Rosadas
71;2013;Alvarinho;12413;Brancas/Rosadas
72;2014;Alvarinho;16147;Brancas/Rosadas
73;2015;Alvarinho;9860;Brancas/Rosadas
74;2016;Alvarinho;16369;Brancas/Rosadas
75;2017;Alvarinho;41225;Brancas/Rosadas
76;2018;Alvarinho;32647;Brancas/Rosadas
78;2020;Alvarinho;46574;Brancas/Rosadas
79;2021;Alvarinho;242238;Brancas/Rosadas
80;2006;Arriloba;27410;Brancas/Rosadas
81;2007;Arriloba;22832;Brancas/Rosadas
82;2008;Arriloba;51380;Brancas/Rosadas
83;2009;Arriloba;35375;Brancas/Rosadas
84;2010;Arriloba;33750;Brancas/Rosadas
85;2011;Arriloba;38390;Brancas/Rosadas
86;2012;Arriloba;40000;Brancas/Rosadas
87;2013;Arriloba;28829;Brancas/Rosadas
88;2014;Arriloba;31140;Brancas/Rosadas
89;2015;Arriloba;34120;Brancas/Rosadas
90;2016;Arriloba;17070;Brancas/Rosadas
91;2017;Arriloba;5280;Brancas/Rosadas
92;2018;Arriloba;2580;Brancas/Rosadas
94;2020;Arriloba;2940;Brancas/Rosadas
128;2006;Chardonnay;1830171;Brancas/Rosadas
129;2007;Chardonnay;1752488;Brancas/Rosadas
130;2008;Chardonnay;5829449;Brancas/Rosadas
131;2009;Chardonnay;4812743;Brancas/Rosadas
132;2010;Chardonnay;3836555;Brancas/Rosadas
133;2011;Chardonnay;4916344;Brancas/Rosadas
134;2012;Chardonnay;6347044;Brancas/Rosadas
135;2013;Chardonnay;6174156;Brancas/Rosadas
136;2014;Chardonnay;5821514;Brancas/Rosadas
137;2015;Chardonnay;7253167;Brancas/Rosadas
138;2016;Chardonnay;3070142;Brancas/Rosadas
139;2017;Chardonnay;7856910;Brancas/Rosadas
140;2018;Chardonnay;6068902;Brancas/Rosadas
142;2020;Chardonnay;6514864;Brancas/Rosadas
143;2021;Chardonnay;4200465;Brancas/Rosadas
144;2006;Chasselas;111200;Brancas/Rosadas
145;2007;Chasselas;48268;Brancas/Rosadas
146;2008;Chasselas;58390;Brancas/Rosadas
147;2009;Chasselas;32425;Brancas/Rosadas
148;2010;Chasselas;47099;Brancas/Rosadas
149;2011;Chasselas;29543;Brancas/Rosadas
160;2006;Chenin Blanc;400160;Brancas/Rosadas
161;2007;Chenin Blanc;355185;Brancas/Rosadas
162;2008;Chenin Blanc;362750;Brancas/Rosadas
163;2009;Chenin Blanc;347230;Brancas/Rosadas
164;2010;Chenin Blanc;73720;Brancas/Rosadas
165;2011;Chenin Blanc;212900;Brancas/Rosadas
166;2012;Chenin Blanc;257090;Brancas/Rosadas
167;2013;Chenin Blanc;264090;Brancas/Rosadas
168;2014;Chenin Blanc;146760;Brancas/Rosadas
169;2015;Chenin Blanc;173321;Brancas/Rosadas
170;2016;Chenin Blanc;60580;Brancas/Rosadas
171;2017;Chenin Blanc;266524;Brancas/Rosadas
172;2018;Chenin Blanc;387360;Brancas/Rosadas
174;2020;Chenin Blanc;465377;Brancas/Rosadas
175;2021;Chenin Blanc;49100;Brancas/Rosadas
181;2011;Clairette(1);949;Brancas/Rosadas
192;2006;Colombard;518836;Brancas/Rosadas
193;2007;Colombard;593625;Brancas/Rosadas
194;2008;Colombard;879719;Brancas/Rosadas
195;2009;Colombard;717624;Brancas/Rosadas
196;2010;Colombard;479201;Brancas/Rosadas
197;2011;Colombard;445104;Brancas/Rosadas
198;2012;Colombard;773273;Brancas/Rosadas
199;2013;Colombard;673158;Brancas/Rosadas
200;2014;Colombard;563589;Brancas/Rosadas
201;2015;Colombard;512199;Brancas/Rosadas
202;2016;Colombard;201659;Brancas/Rosadas
203;2017;Colombard;535573;Brancas/Rosadas
204;2018;Colombard;522866;Brancas/Rosadas
206;2020;Colombard;467614;Brancas/Rosadas
