id,tipo,produto,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2,VINHO DE MESA,Tinto,149552555,228156220,241057928,164143454,157290088,210113358,175875432,163111797,157776363,169811472,75279191,1365957,188270142,121045115,103916391,146075996,162844214
3,VINHO DE MESA,Branco,31738390,42118552,42942053,39211278,35408083,46007504,34938249,32066403,37438069,39557250,10727099,217527985,29229970,22032828,19568734,26432799,30198430
4,VINHO DE MESA,Rosado,3809942,5013136,3506830,2063474,2569809,1719887,1963356,1726022,958691,939838,312725,36121245,875524,1551794,715289,1391200,1988968
6,VINHO FINO DE MESA (VINÍFERA),Tinto,18868108,24786071,27583032,18209043,11401406,24104740,24027589,23156458,17208996,16745896,8774847,21442212,19118254,17389377,15451883,20433249,24417918
7,VINHO FINO DE MESA (VINÍFERA),Branco,13249969,17598428,18812571,21366975,13013027,22739426,20647238,21906349,20054804,19561966,8705066,21928400,18297257,18193055,15487915,20867999,20896613
8,VINHO FINO DE MESA (VINÍFERA),Rosado,50900,791985,938898,324550,391280,754305,525903,719723,1200514,841120,590713,1167258,1291709,2032990,1576888,2173750,2197265
10,SUCO,Suco de uva integral,13946491,10147037,11817941,16034003,26887259,39487800,31908829,33673396,43331223,52233155,31117869,46865626,34367996,50239767,40718523,68038479,35248305
11,SUCO,Suco de uva concentrado,17414605,19280709,23014646,23006457,23238685,29564324,37624855,31206394,33392314,35661313,11092520,30059271,31099910,26861009,27963865,32131218,29892550
12,SUCO,Suco de uva adoçado,0,709098,815407,674638,0,312200,533048,0,0,0,0,177774,0,120320,107289,40450,79130
13,SUCO,Suco de uva orgânico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471610,722117,589094
14,SUCO,Suco de uva reconstituído,0,0,0,0,0,0,0,0,0,0,0,59300,0,584256,0,0,0
16,DERIVADOS,Espumante,26600,0,88690,0,10125,26361,17200,30275,2700,23750,1500,11280,68500,52176,32399,70091,70759
17,DERIVADOS,Espumante moscatel,320514,589332,1113462,1190500,703393,219100,139775,159781,100000,110100,100000,152375,326200,515800,689139,11950,27200
18,DERIVADOS,Base espumante,0,78250,220120,335850,0,0,0,0,0,0,0,0,0,0,0,5475049,0
19,DERIVADOS,Base espumante moscatel,362589,111200,474721,442150,1144508,2749540,2798908,1470700,1808044,1607727,1325700,1965629,1320650,1962443,3006705,5549471,6308043
20,DERIVADOS,Base Champenoise champanha,0,0,0,0,92082,74746,369278,359617,234725,605001,740395,1552403,228518,274903,200777,0,1146717
21,DERIVADOS,Base Charmat champanha,0,0,0,0,254000,865858,479625,624728,376968,1466259,250280,893364,1746540,1188095,2487939,0,4078766
22,DERIVADOS,Bebida de uva,0,0,1082700,420,7900,0,0,4260,3860,922,3474,0,0,0,0,2000,0
23,DERIVADOS,Polpa de uva,1006000,1083202,1188260,1352417,1951606,2480120,2797665,1742152,2484000,2371140,1620430,2507125,2112683,1480269,1803472,1180578,387886
24,DERIVADOS,Mosto simples,25903812,37558010,53683415,53418555,45912040,77285998,93341575,58517506,57582195,100911592,49770993,101010116,88910980,135614344,80355474,153579926,126048241
25,DERIVADOS,Mosto concentrado,0,110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,DERIVADOS,Mosto de uva com bagaço,0,0,0,0,0,1037600,0,0,0,0,0,772110,0,645816,3078256,618764,0
27,DERIVADOS,Mosto dessulfitado,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,5000,1532000,0
28,DERIVADOS,Mistelas,0,1900,2000,3500,0,0,200,2500,1000,0,0,1500,2000,3000,0,2500,0
29,DERIVADOS,Néctar de uva,0,0,0,0,0,0,0,10000,1140,1000,0,3000,0,32519,46000,18187,0
30,DERIVADOS,Licorosos,0,0,0,38000,0,0,26775,0,0,0,0,110820,0,0,0,0,0
31,DERIVADOS,Compostos,0,0,0,0,0,0,7600,0,0,0,0,0,0,0,0,0,0
32,DERIVADOS,Jeropiga,0,0,0,0,69000,0,0,0,0,0,0,0,0,0,2000,3540,5000
33,DERIVADOS,Filtrado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
